HLCL-0|keep going if you are scared keep going
HLCL-1141|this time they went the other way and ridiculed my intimate listening sessions where are the rallies why can't she draw crowd a task that enthusiasm question never really went away even when we drew large crowds
HLCL-1142|other than Nevada where we build extensive organizations I struggled and caucuses just as I had the last time
HLCL-1143|by their structure and rules caucuses favor the most committed activist who are willing to spend long hours waiting to be
HLCL-1144|the daisy advantage to the Insurgent left-wing candidacy of Bernie Sanders
HLCL-1145|secret ballots in all day voting election and much higher turnout
HLCL-1146|the difference was most clear in Washington state which held both a caucus and a primary
HLCL-1147|Bernie won the caucus in March and I won the Primary in May in which three times as many people voted unfortunately most of the delegates were awarded based on the caucus
HLCL-1148|ultimately none of this mattered much after I built up a large delegate lead in March what did Mater and had a lasting impact was it Bernie's presence in the race meant that I have less space and credibility to run the kind of feisty Progressive campaign that help me win Ohio and Pennsylvania in 2008
HLCL-1149|one piece of advice the President Obama gave me throughout the campaign was that we needed more message discipline and he was right in 1992 Bill relied on James Carville and Paul begala to help him shape his wedding message and they made sure that everyone in the campaign in
HLCL-1150|getting the candidate stuck to it.
HLCL-1151|in 2016 my campaign was blessed with many brilliant strategist and they helped me develop a message stronger together that reflected my values and vision and a clear contrast with Trump
HLCL-1152|it may not have been catchy enough to break through the wall of negative coverage about emails maybe nothing could but it was the case I wanted to make and when voters got a chance to hear from me directly at the convention and in the debates polls showed they liked what they heard
HLCL-1153|it's true though that we struggle to stay on message my advisers had to deal with a candidate me and wanted something new to say as opposed to just repeating the same stump speech over and over
HLCL-1154|in addition more than any race I can remember we were constantly buffeted by events from the email controversy to WikiLeaks to mass shootings and terrorist attacks there was no such thing as a normal day
HLCL-1155|and the Press didn't cover normal campaign speeches what they were interested in with a steady diet of conflict and Scandal as a result when it came to driving a consistent message we were fighting an uphill battle
HLCL-1156|all this together and I think you get a picture of a campaign that had both great strengths and weaknesses just like every campaign in history
HLCL-1157|there are important lessons to learn from what we got right and what we got wrong but I totally reject the notion that it was an unusually flawed or dysfunctional campaign that's just wrong
HLCL-1158|my team battled serious headwinds to win the popular vote and if not for the dramatic intervention of the FBI director in the final days I believe that in spite of everything we would have won the White House I've been criticized harshly by political pundits for saying that and even some of my supporters have said they agree with me but I shouldn't say it
