LAFB-1||party of Ku Klux Klan Riders Gallop to our home in Omaha Nebraska
LAFB-784||I spent the first month in town with my mouth hanging open
LAFB-786||Ella told me this was called a conch
LAFB-787||I never tasted a sip of liquor never even smoke the cigarette
LAFB-788||and here I saw a little black children 10 and 12 years-old shooting craps playing cards fighting getting grown-ups to put a penny or a nickel on that number for them things like that
LAFB-789||and these children through around swear words I've never heard before even and slang Expressions that would just as new to me such a stud and cat and chicken pool and hip
LAFB-790||every night as I lay in bed I turn these new words over in my mind
LAFB-792||I wanted to find a job myself to surprise
LAFB-793||one afternoon something told me to go inside a pool room whose window I was looking through I had looked through that window many times I wasn't yearning to play pool in fact I never held a cue stick
LAFB-794||but I was drawn by the sight of the cool looking cat standing around inside bending over the Big Green felt top tables making bets and shooting the bright colored balls into the holes
LAFB-795||as I stared through the window this particular afternoon something made me decide to venture inside and talk to a dark study conk headed fellow who racked up ball for the pool players who might herd called shorty
LAFB-796||one day he'd come outside and see me standing there and said hi red so
LAFB-797||that made me figure he was friendly as inconspicuously as I could I slipped inside the door and around the side of the pool room avoiding people and onto the back where shorty was filling an aluminum can with the powder that pool players dust on their hands
LAFB-799||later on Shorty would enjoy teasing me about how weird that first glance he knew my whole story
LAFB-800||man that cat still smelled country he'd say laughing cats legs was so long and his pants so short uni shows and his head look like a Briar Patch
LAFB-801||but that afternoon shorty didn't let it show in his face How Country I appeared when I told him I'd appreciate it if you'd tell me how could somebody go about getting a job like his
LAFB-802||if you mean racking up balls said shorty I don't know of no pool joints around here needing anybody you mean you just want any slave you can find a slave meant work a job
LAFB-803||yes what kind of work I had done I told him that I'd washed restaurant dishes in Mason Michigan he nearly dropped the powder can my homeboy man give me some skin come from Lansing
LAFB-804||I never told shorty and he never suspected that he was about to
LAFB-805||he is older than I he took us to be about the same age at first I would have been embarrassed to tell him later I just never bothered
LAFB-806||shorty had dropped out of first-year high school in Lansing lived while with an uncle and Aunt in Detroit and had spent the last six years living with his cousin in Roxbury
LAFB-807||but when I mention the name of Lansing people in places he remembered many and pretty soon we sounded as if we have been raised in the same block
LAFB-808||I could sense Shorty's genuine gladness and I don't have to say how lucky I felt to find a friend as hip as he obviously was
LAFB-809||man this is a swinging town if you dig it shorty said you my homeboy I'm going to school you to the happenings I still Darren grin like a fool you got to go anywhere now we'll stick around till I get off
LAFB-810||one thing I immediately liked about shorty was his frankness what I told him where I live he said what I already knew that nobody in town could stand the hill Negroes but
LAFB-811||I thought a sister who gave me a pad not charging me rent not even running me out to find some slave couldn't be all bad
LAFB-812||shorty slave in the pool room he said was just to keep ends together while he learned his horn
