BKOB-0||to Michelle my love and life partner
BKOB-1227||and I can see a touch of nerves at the beginning places where I'm too fast or too slow
BKOB-1228||my gestures slightly awkward the train my inexperience
BKOB-1229||the point in the speech where I find my Cadence
BKOB-1230||the crowd quiet rather than Roar
BKOB-1231||the kind of moment I'd come to recognize and subsequent years
BKOB-1232||certain magic Knights there's a physical feeling
BKOB-1233||current of emotion that passes back and forth between you and the crab
BKOB-1234||as if your lives and bears are suddenly spliced together like a movie reel
BKOB-1235||projecting backward and forward in time and your voice creeps right up to the edge of cracking because for an instant
BKOB-1236||you feel them deeply you can see them whole
BKOB-1237||you've tapped into some collective spirit
BKOB-1238||I think we all know and wish for sense of connection that overrides our differences and replaces them with the Giants Well of possibility
BKOB-1239||and like all things that matter most you know the moment is fleeting
BKOB-1240||but soon the spell will be broken
BKOB-1241||before that night I thought I understood the power of the media
BKOB-1242||I've seen how axelrod's ads and catapulted me into the lead in the primary
BKOB-1243||strangers with some a honk and wave from their cars or have children brush up to me on the street and say with great seriousness I saw you on TV
BKOB-1244||this was exposure of a different magnitude
BKOB-1245||unfiltered live transmission to millions of
BKOB-1246||Eclipse cycle 2 million more beer across the internet
BKOB-1247||leaving the stage I knew that the feature gone well and I wasn't all that surprised by the question people reading us at various convention events the following day
BKOB-1248||as satisfying as retention I got in Boston was though I assumed it was circumstantial and I figured they were political junkies people who follow the stuff minute by minute
BKOB-1249||immediately after the convention do Michelle and I are the girls loaded up our stuff instead out for a week-long RV trip in downstate Illinois
BKOB-1250||designer showboaters I remain focused on Illinois and that I hadn't gotten too big for my britches
BKOB-1251||we were few minutes for my first stop rolling down the highway when Jeremiah mydownstate director got a call from the events that
BKOB-1252||okay okay I'll talk to the driver what's wrong I asked already a little worn out by sleep deprivation in the hectic schedule
BKOB-1253||we were expecting maybe a hundred people at the park Jeremiah said but
BKOB-1254||right now they're counting at least 500 massive to slow down so that time to deal with the Overflow
BKOB-1255||20 minutes later we pulled up to see what look like the entire town crammed into the park
BKOB-1256||we're parents with kids on their shoulders seniors on lawn chairs waiting small Flags men and plaid shirts and feed cat
BKOB-1257||many of them surely just curious there to see what the fuss was about but other standing patiently in quiet anticipation
BKOB-1258||Melia. Upper window ignoring sizes efforts to shovel out of the way
BKOB-1259||what are the people doing in park
BKOB-1260||be sure to see Daddy Michelle said why
BKOB-1261||turn against the shrike and just said you're going to need a bigger boat
BKOB-1262||every stop after that we were met by crowds four or five times larger than any we've seen before
BKOB-1263||no matter how much we told ourselves that interest would fade in the balloon would deflate
BKOB-1264||no matter how much we tried to guard against complacency
BKOB-1265||the election itself became almost an afterthought
BKOB-1266||my August the Republicans unable to find a local candidate willing to run over former Chicago Bears coach Mike Ditka publicly flirted with the idea
BKOB-1267||bafflingly recruited conservative Firebrand Alan Keyes
BKOB-1268||Gibbs said with a grin they got their own black guy
BKOB-1269||aside from the fact the keys with the Maryland resident is Harsh moralizing about abortion and homosexuality didn't sit well with Illinois
BKOB-1270||Jesus Christ would not vote for Barrack Obama deliberately mispronouncing my name every time
BKOB-1271||I didn't buy more than fourtypoints because margin for the state senate race in the States history
BKOB-1272||are mood on Election night was subdued not only because our race had become a foregone conclusion
BKOB-1273||because of the national results
BKOB-1274||Republicans retain control of the house and the Senate
BKOB-1275||even the Democratic Senate minority leader Tom daschle of South Dakota had lost in an upset
BKOB-1276||call roll George Bush's political Mastermind was crying about his dream of installing a permanent Republican majority
